,back_legroom,body_type,dealer_zip,engine_type,exterior_color,front_legroom,fuel_tank_volume,fuel_type,has_accidents,horsepower,interior_color,is_new,make_name,maximum_seating,price,theft_title,torque,transmission,transmission_display,wheel_system,wheelbase,year
17201,--,Coupe,10019,H6,Guards Red,41.6 in,17.9 gal,Gasoline,False,540.0,Black/Bordeaux Red,False,Porsche,4 seats,133995.0,False,,A,Automatic,AWD,96.5 in,2017
17216,--,Coupe,10019,H6,Golden Yellow Metallic,41.6 in,17.6 gal,Gasoline,False,607.0,Black,False,Porsche,4 seats,299500.0,False,553 lb-ft @ 2250 RPM,A,Automatic,AWD,96.5 in,2018
17251,--,SUV / Crossover,10019,V6,Volcano Grey Metallic,--,19.8 gal,Gasoline,False,340.0,Black/Garnet Red,False,Porsche,5 seats,51995.0,False,339 lb-ft @ 1450 RPM,A,Automatic,AWD,110.5 in,2017
17254,--,SUV / Crossover,10549,V8,GRAY,--,22.4 gal,Gasoline,False,400.0,Gray,False,Porsche,5 seats,21989.0,False,369 lb-ft @ 3500 RPM,A,Automatic,AWD,114 in,2011
17290,--,Convertible,10019,H6,White,41.6 in,17.9 gal,Gasoline,False,580.0,Black,False,Porsche,4 seats,175995.0,False,,A,Automatic,AWD,96.5 in,2018
17291,--,Coupe,10019,H6,Black,41.6 in,16.9 gal,Gasoline,False,700.0,Black,False,Porsche,2 seats,329500.0,False,553 lb-ft @ 2500 RPM,A,Automatic,RWD,96.5 in,2018
17310,--,SUV / Crossover,10019,V8,Black,67 in,26.4 gal,Gasoline,False,500.0,Black,False,Porsche,5 seats,50995.0,False,516 lb-ft @ 4500 RPM,A,Automatic,AWD,114 in,2014
17326,--,SUV / Crossover,10019,V6,Night Blue Metallic,--,19.8 gal,Gasoline,False,340.0,Black/Luxor Beige,False,Porsche,5 seats,46495.0,False,339 lb-ft @ 1450 RPM,A,Automatic,AWD,110.5 in,2017
17330,--,Coupe,10019,H6,GT Silver Metallic,41.6 in,17.9 gal,Gasoline,False,580.0,Gray (Agate Grey),False,Porsche,4 seats,188500.0,False,,A,Automatic,AWD,96.5 in,2018
17340,--,Convertible,10019,H6,Racing Yellow,41.6 in,18 gal,Gasoline,False,350.0,Platinum Gray,False,Porsche,4 seats,89995.0,False,287 lb-ft @ 4400 RPM,M,Manual,AWD,96.5 in,2016
17347,--,Sedan,10019,V8,Jet Black Metallic,--,23.7 gal,Gasoline,False,550.0,Black,False,Porsche,4 seats,127995.0,False,567 lb-ft @ 1960 RPM,A,Automatic,AWD,116.1 in,2018
17378,--,SUV / Crossover,10019,V6,Agate Gray Metallic,--,19.8 gal,Gasoline,False,400.0,Agate Gray,False,Porsche,5 seats,46495.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,110.5 in,2015
17431,--,SUV / Crossover,10019,V6,Agate Gray Metallic,--,19.8 gal,Gasoline,False,400.0,Black/Garnet Red,False,Porsche,5 seats,51550.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,110.5 in,2016
17435,--,SUV / Crossover,10019,V6,Volcano Grey Metallic,--,19.8 gal,Gasoline,False,340.0,Black,False,Porsche,5 seats,47995.0,False,339 lb-ft @ 1450 RPM,A,Automatic,AWD,110.5 in,2017
17461,--,Convertible,10019,H6,Black,41.6 in,16.9 gal,Gasoline,False,430.0,Black/Carmine Red,False,Porsche,4 seats,105500.0,False,325 lb-ft @ 5600 RPM,M,Manual,RWD,96.5 in,2016
17472,--,SUV / Crossover,10019,V6,White,67 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,5 seats,49995.0,False,295 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2017
17484,--,Convertible,10019,H6,Golden Yellow Metallic,41.6 in,17.9 gal,Gasoline,False,607.0,Black,False,Porsche,4 seats,298500.0,False,553 lb-ft @ 2250 RPM,A,Automatic,AWD,96.5 in,2019
17490,--,Coupe,10019,H6,Jet Black Metallic,41.6 in,17.9 gal,Gasoline,False,580.0,Black/Bordeaux Red,False,Porsche,4 seats,170995.0,False,,A,Automatic,AWD,96.5 in,2018
17525,--,Sedan,10019,V6,Chalk,--,23.7 gal,Gasoline,False,330.0,Black,False,Porsche,4 seats,77995.0,False,331 lb-ft @ 1340 RPM,A,Automatic,AWD,116.1 in,2018
17543,--,SUV / Crossover,10019,V6,Volcano Grey Metallic,--,19.8 gal,Gasoline,False,340.0,Black/Luxor Beige,False,Porsche,5 seats,51995.0,False,339 lb-ft @ 1450 RPM,A,Automatic,AWD,110.5 in,2017
17608,--,Convertible,10019,H6,Black,41.6 in,16.9 gal,Gasoline,False,400.0,Black,False,Porsche,4 seats,67995.0,False,325 lb-ft @ 5600 RPM,A,Automatic,RWD,96.5 in,2014
